source_id	raw_company_name	country	city	company_type	source_type	url_or_file	official_registration	description	notes
auto-paraguay-senacsa-frigorificos-cooperativa-multiactiva-neuland-fo1ggm	COOPERATIVA MULTIACTIVA NEULAND LTDA.	Paraguay		unknown	official_list	https://docs.google.com/spreadsheets/d/1nDixRDexsnfC9ieAkWxrqNryysK9UoHZ/export?format=csv#registro-SENACSA-1	SENACSA-1	Mercaderia: Carne Bovina (ECB), Menudencia Bovina (EMB), Grasa Bovina (EGB); Clasificacion destino: UNION EUROPEA, OTROS MERCADOS, HABILITADOS POR PAIS IMPORTADOR; Pais destino: ALEMANIA, KOSOVO, URUGUAY, BRASIL, CANADA, CHILE, ESTADOS UNIDOS DE AMERICA, PUERTO RICO	自动采集：巴拉圭 SENACSA 出口 frigoríficos 名单；结构化解析：SENACSA Google Sheets；官方注册号：SENACSA-1
auto-paraguay-senacsa-frigorificos-frigorifico-frigomerc-23ysxe	FRIGORIFICO FRIGOMERC S.A.	Paraguay		frigorifico	official_list	https://docs.google.com/spreadsheets/d/1nDixRDexsnfC9ieAkWxrqNryysK9UoHZ/export?format=csv#registro-SENACSA-2	SENACSA-2	Mercaderia: Carne Bovina (ECB), Menudencia Bovina (EMB), Grasa Bovina (EGB); Clasificacion destino: UNION EUROPEA, OTROS MERCADOS, HABILITADOS POR PAIS IMPORTADOR; Pais destino: ALEMANIA, DINAMARCA, ESLOVENIA, ITALIA, PAISES BAJOS, PORTUGAL, REINO UNIDO, REPUBLICA CHECA	自动采集：巴拉圭 SENACSA 出口 frigoríficos 名单；结构化解析：SENACSA Google Sheets；官方注册号：SENACSA-2
auto-paraguay-senacsa-frigorificos-matadero-frigorifico-san-antonio-1op5dre	MATADERO FRIGORIFICO SAN ANTONIO	Paraguay		frigorifico	official_list	https://docs.google.com/spreadsheets/d/1nDixRDexsnfC9ieAkWxrqNryysK9UoHZ/export?format=csv#registro-SENACSA-3	SENACSA-3	Mercaderia: Carne Bovina (ECB), Menudencia Bovina (EMB), Grasa Bovina (EGB); Clasificacion destino: UNION EUROPEA, OTROS MERCADOS, HABILITADOS POR PAIS IMPORTADOR; Pais destino: ALEMANIA, ITALIA, PAISES BAJOS, PORTUGAL, REINO UNIDO, ESPAÑA, ALBANIA, ANGOLA	自动采集：巴拉圭 SENACSA 出口 frigoríficos 名单；结构化解析：SENACSA Google Sheets；官方注册号：SENACSA-3
auto-paraguay-senacsa-frigorificos-frigorifico-guarani-c-i-1o8l53y	FRIGORIFICO GUARANI S.A.C.I.	Paraguay		frigorifico	official_list	https://docs.google.com/spreadsheets/d/1nDixRDexsnfC9ieAkWxrqNryysK9UoHZ/export?format=csv#registro-SENACSA-7	SENACSA-7	Mercaderia: Carne Bovina (ECB), Menudencia Bovina (EMB), Grasa Bovina (EGB); Clasificacion destino: UNION EUROPEA, OTROS MERCADOS, HABILITADOS POR PAIS IMPORTADOR; Pais destino: ALEMANIA, ITALIA, PAISES BAJOS, ALBANIA, ARUBA, CONGO, CUBA, GABON	自动采集：巴拉圭 SENACSA 出口 frigoríficos 名单；结构化解析：SENACSA Google Sheets；官方注册号：SENACSA-7
auto-paraguay-senacsa-frigorificos-frigorifico-lombardo-rgg5uy	FRIGORIFICO LOMBARDO	Paraguay		frigorifico	official_list	https://docs.google.com/spreadsheets/d/1nDixRDexsnfC9ieAkWxrqNryysK9UoHZ/export?format=csv#registro-SENACSA-8	SENACSA-8	Mercaderia: Carne Bovina (ECB), Menudencia Bovina (EMB), Grasa Bovina (EGB); Clasificacion destino: UNION EUROPEA, OTROS MERCADOS, HABILITADOS POR PAIS IMPORTADOR; Pais destino: ALEMANIA, ITALIA, PAISES BAJOS, PORTUGAL, ESPAÑA, CONGO, CUBA, CURACAO	自动采集：巴拉圭 SENACSA 出口 frigoríficos 名单；结构化解析：SENACSA Google Sheets；官方注册号：SENACSA-8
auto-paraguay-senacsa-frigorificos-frigochorti-eiaiig	FRIGOCHORTI	Paraguay		frigorifico	official_list	https://docs.google.com/spreadsheets/d/1nDixRDexsnfC9ieAkWxrqNryysK9UoHZ/export?format=csv#registro-SENACSA-9	SENACSA-9	Mercaderia: Carne Bovina (ECB), Menudencia Bovina (EMB); Clasificacion destino: UNION EUROPEA, OTROS MERCADOS, HABILITADOS POR PAIS IMPORTADOR; Pais destino: ALEMANIA, PAISES BAJOS, ALBANIA, GABON, KOSOVO, MACEDONIA DEL NORTE, URUGUAY, BRASIL	自动采集：巴拉圭 SENACSA 出口 frigoríficos 名单；结构化解析：SENACSA Google Sheets；官方注册号：SENACSA-9
auto-paraguay-senacsa-frigorificos-frigorifico-frigochaco-ekanta	FRIGORIFICO FRIGOCHACO	Paraguay		frigorifico	official_list	https://docs.google.com/spreadsheets/d/1nDixRDexsnfC9ieAkWxrqNryysK9UoHZ/export?format=csv#registro-SENACSA-10	SENACSA-10	Mercaderia: Carne Bovina (ECB), Menudencia Bovina (EMB), Grasa Bovina (EGB); Clasificacion destino: UNION EUROPEA, OTROS MERCADOS, HABILITADOS POR PAIS IMPORTADOR; Pais destino: ALEMANIA, FRANCIA, ITALIA, PAISES BAJOS, PORTUGAL, ESPAÑA, ALBANIA, ANGOLA	自动采集：巴拉圭 SENACSA 出口 frigoríficos 名单；结构化解析：SENACSA Google Sheets；官方注册号：SENACSA-10
auto-paraguay-senacsa-frigorificos-frigorifico-belen-l9q5qz	FRIGORIFICO BELEN	Paraguay		frigorifico	official_list	https://docs.google.com/spreadsheets/d/1nDixRDexsnfC9ieAkWxrqNryysK9UoHZ/export?format=csv#registro-SENACSA-23	SENACSA-23	Mercaderia: Carne Bovina (ECB), Menudencia Bovina (EMB), Grasa Bovina (EGB); Clasificacion destino: UNION EUROPEA, OTROS MERCADOS, HABILITADOS POR PAIS IMPORTADOR; Pais destino: ALEMANIA, DINAMARCA, ITALIA, PAISES BAJOS, PORTUGAL, REINO UNIDO, ESPAÑA, ALBANIA	自动采集：巴拉圭 SENACSA 出口 frigoríficos 名单；结构化解析：SENACSA Google Sheets；官方注册号：SENACSA-23
auto-paraguay-senacsa-frigorificos-frigorifico-concepcion-djdnjk	FRIGORIFICO CONCEPCION S.A.	Paraguay		frigorifico	official_list	https://docs.google.com/spreadsheets/d/1nDixRDexsnfC9ieAkWxrqNryysK9UoHZ/export?format=csv#registro-SENACSA-38	SENACSA-38	Mercaderia: Carne Bovina (ECB), Menudencia Bovina (EMB), Grasa Bovina (EGB); Clasificacion destino: UNION EUROPEA, OTROS MERCADOS, HABILITADOS POR PAIS IMPORTADOR; Pais destino: ALEMANIA, ITALIA, PAISES BAJOS, PORTUGAL, REINO UNIDO, ALBANIA, ANGOLA, ANTIGUA Y BARBUDA	自动采集：巴拉圭 SENACSA 出口 frigoríficos 名单；结构化解析：SENACSA Google Sheets；官方注册号：SENACSA-38
auto-paraguay-senacsa-frigorificos-avicar-foods-1b8gth8	AVICAR FOODS	Paraguay		exporter	official_list	https://docs.google.com/spreadsheets/d/1nDixRDexsnfC9ieAkWxrqNryysK9UoHZ/export?format=csv#registro-SENACSA-11	SENACSA-11	Mercaderia: Carne Bovina (ECB), Menudencia Bovina (EMB); Clasificacion destino: OTROS MERCADOS, HABILITADOS POR PAIS IMPORTADOR; Pais destino: ALBANIA, COMORAS, KOSOVO, BRASIL, TAIWAN, VIETNAM, BARBADOS, CAMBOYA(KAMPUCHEA)	自动采集：巴拉圭 SENACSA 出口 frigoríficos 名单；结构化解析：SENACSA Google Sheets；官方注册号：SENACSA-11
auto-paraguay-senacsa-frigorificos-frigorifico-victoria-10h2fz0	FRIGORIFICO VICTORIA	Paraguay		frigorifico	official_list	https://docs.google.com/spreadsheets/d/1nDixRDexsnfC9ieAkWxrqNryysK9UoHZ/export?format=csv#registro-SENACSA-14	SENACSA-14	Mercaderia: Carne Bovina (ECB), Menudencia Bovina (EMB); Clasificacion destino: OTROS MERCADOS, HABILITADOS POR PAIS IMPORTADOR; Pais destino: ALBANIA, ANGOLA, ANTIGUA Y BARBUDA, ANTILLAS NEERLANDESAS, ARGENTINA, ARMENIA, ARUBA, AZERBAIJAN	自动采集：巴拉圭 SENACSA 出口 frigoríficos 名单；结构化解析：SENACSA Google Sheets；官方注册号：SENACSA-14
auto-paraguay-senacsa-frigorificos-frigorifico-norte-kxkeza	FRIGORIFICO NORTE S.A.	Paraguay		frigorifico	official_list	https://docs.google.com/spreadsheets/d/1nDixRDexsnfC9ieAkWxrqNryysK9UoHZ/export?format=csv#registro-SENACSA-15	SENACSA-15	Mercaderia: Carne Bovina (ECB), Menudencia Bovina (EMB); Clasificacion destino: OTROS MERCADOS, HABILITADOS POR PAIS IMPORTADOR; Pais destino: ALBANIA, ANGOLA, ANTIGUA Y BARBUDA, ANTILLAS NEERLANDESAS, BAHREIN, COSTA DE MARFIL, CURACAO, GABON	自动采集：巴拉圭 SENACSA 出口 frigoríficos 名单；结构化解析：SENACSA Google Sheets；官方注册号：SENACSA-15
auto-paraguay-senacsa-frigorificos-frigorifico-concepcion-736nno	FRIGORIFICO CONCEPCION S.A.	Paraguay		frigorifico	official_list	https://docs.google.com/spreadsheets/d/1nDixRDexsnfC9ieAkWxrqNryysK9UoHZ/export?format=csv#registro-SENACSA-49/C2	SENACSA-49/C2	Mercaderia: Carne Bovina (ECB); Clasificacion destino: OTROS MERCADOS, HABILITADOS POR PAIS IMPORTADOR; Pais destino: ALBANIA, ANGOLA, ANTIGUA Y BARBUDA, GEORGIA, GHANA, KOSOVO, SIERRA LEONA, BRASIL	自动采集：巴拉圭 SENACSA 出口 frigoríficos 名单；结构化解析：SENACSA Google Sheets；官方注册号：SENACSA-49/C2
auto-paraguay-senacsa-frigorificos-frigorifico-concepcion-ytzsdm	FRIGORIFICO CONCEPCION S.A.	Paraguay		frigorifico	official_list	https://docs.google.com/spreadsheets/d/1nDixRDexsnfC9ieAkWxrqNryysK9UoHZ/export?format=csv#registro-SENACSA-42/C1	SENACSA-42/C1	Mercaderia: Carne Bovina (ECB); Clasificacion destino: HABILITADOS POR PAIS IMPORTADOR; Pais destino: CHILE	自动采集：巴拉圭 SENACSA 出口 frigoríficos 名单；结构化解析：SENACSA Google Sheets；官方注册号：SENACSA-42/C1
auto-paraguay-senacsa-frigorificos-matadero-frigorifico-concepcion-roque-alonso-1u6hrq	MATADERO FRIGORIFICO CONCEPCION S.A. ROQUE ALONSO	Paraguay		frigorifico	official_list	https://docs.google.com/spreadsheets/d/1nDixRDexsnfC9ieAkWxrqNryysK9UoHZ/export?format=csv#registro-SENACSA-42	SENACSA-42	Mercaderia: Carne Bovina (ECB), Menudencia Bovina (EMB); Clasificacion destino: HABILITADOS POR PAIS IMPORTADOR, OTROS MERCADOS; Pais destino: KUWAIT, ANGOLA, CONGO, COSTA DE MARFIL, GABON, GHANA, GUINEA ECUATORIAL, LIBERIA	自动采集：巴拉圭 SENACSA 出口 frigoríficos 名单；结构化解析：SENACSA Google Sheets；官方注册号：SENACSA-42
auto-uruguay-meats-exporters-frigorifico-carrasco-1f36gw1	Frigorífico Carrasco S.A.	Uruguay		frigorifico	official_list	https://uymeats.com/product/frigorifico-carrasco-s-a-2/	INAC-3	Uruguay Meats exporter card No. 3: Frigorífico Carrasco S.A.	自动采集：乌拉圭 Uruguay Meats 出口商目录；结构化解析：Uruguay Meats exporter card；官方编号：INAC-3
auto-uruguay-meats-exporters-breeders-and-packers-uruguay-1gvbtj6	Breeders & Packers Uruguay S.A	Uruguay		exporter	official_list	https://uymeats.com/product/breeders-packers-uruguay-s-a/	INAC-310	Uruguay Meats exporter card No. 310: Breeders & Packers Uruguay S.A	自动采集：乌拉圭 Uruguay Meats 出口商目录；结构化解析：Uruguay Meats exporter card；官方编号：INAC-310
auto-uruguay-meats-exporters-frigorifico-pul-1mdn3d6	Frigorifico PUL S.A	Uruguay		frigorifico	official_list	https://uymeats.com/product/frigorifico-pul-s-a/	INAC-7	Uruguay Meats exporter card No. 7: Frigorifico PUL S.A	自动采集：乌拉圭 Uruguay Meats 出口商目录；结构化解析：Uruguay Meats exporter card；官方编号：INAC-7
auto-uruguay-meats-exporters-lorsinal-diundj	Lorsinal S.A	Uruguay		unknown	official_list	https://uymeats.com/product/lorsinal-s-a/	INAC-224	Uruguay Meats exporter card No. 224: Lorsinal S.A	自动采集：乌拉圭 Uruguay Meats 出口商目录；结构化解析：Uruguay Meats exporter card；官方编号：INAC-224
