source_id	raw_company_name	normalized_company_name	country	city	company_type	source_type	url_or_file	official_registration	keywords_found	excluded_keywords_found	omasum_level	evidence_level	development_distance	source_truth	weekly_supply_potential	undervaluation_signal	processing_control	route_feasibility	communication_trust	risk_flags	score	radar_score	priority_grade	status	next_action	notes	updated_at
py-senacsa-001	A Frigorifico Paraguay SA	A Frigorifico Paraguay	Paraguay	Asuncion	frigorifico	official_list	https://example.local/py/a-frigorifico	SENACSA-001	omaso bovino;librillo;omaso;subproductos bovinos;frigorifico		O3	E1	D2					medium			70	40	D	要视频	要视频：索取当前原料、清洗、盐腌、包装和冷库视频	出口肉厂，资料中出现 subproductos bovinos，并需要确认 omaso bovino / librillo 是否可收集。有屠宰和出口基础，但尚未发现成熟 Omasum 提单。 LLM: Official plant signal and product keywords are promising, but there is no bill, media, or field proof. LLM: 规则基线兜底评估：用于货源雷达批量排序；不是 LLM 判断，也不是采购决策。	2026-06-02
br-weak-001	C Subprodutos Bovinos Ltda	C Subprodutos Bovinos	Brazil	Campo Grande	byproduct_processor	weak_signal	https://example.local/br/c-subprodutos	BR-SIF-202	folhoso;bucho bovino;miudos bovinos;subprodutos bovinos;abatedouro;cold storage		O3	E1	D3					high			67	40	D	要视频	要视频：索取当前原料、清洗、盐腌、包装和冷库视频	社媒和本地页面出现 miudos bovinos、folhoso、bucho bovino，附近有 abatedouro 和 cold storage。可能是待开发加工商，下一步要当前 folhoso 视频。 LLM: 规则基线兜底评估：用于货源雷达批量排序；不是 LLM 判断，也不是采购决策。	2026-06-02
uy-ref-001	B Exporter Uruguay	B Exporter Uruguay	Uruguay	Montevideo	exporter	bill_of_lading	https://example.local/uy/b-exporter	INAC-303	book tripe;Frozen Salted Omasum;Salted Omasum		O3	E2	D1								70	20	E	观察	成熟参考：记录价格、包装、路线，少量验证	Frozen Salted Omasum / book tripe，HS 05040000，40RQ 发往 Hong Kong。成熟参考样本，用于价格、包装和路线参考。 LLM: 规则基线兜底评估：用于货源雷达批量排序；不是 LLM 判断，也不是采购决策。	2026-06-02
auto-paraguay-senacsa-frigorificos-cooperativa-multiactiva-neuland-fo1ggm	COOPERATIVA MULTIACTIVA NEULAND LTDA.	COOPERATIVA MULTIACTIVA NEULAND	Paraguay		unknown	official_list	https://docs.google.com/spreadsheets/d/1nDixRDexsnfC9ieAkWxrqNryysK9UoHZ/export?format=csv#registro-SENACSA-1	SENACSA-1	frigorifico		O1	E1	D2								33	38	D	淘汰	淘汰：证据不足或风险过高	Mercaderia: Carne Bovina (ECB), Menudencia Bovina (EMB), Grasa Bovina (EGB); Clasificacion destino: UNION EUROPEA, OTROS MERCADOS, HABILITADOS POR PAIS IMPORTADOR; Pais destino: ALEMANIA, KOSOVO, URUGUAY, BRASIL, CANADA, CHILE, ESTADOS UNIDOS DE AMERICA, PUERTO RICO 自动采集：巴拉圭 SENACSA 出口 frigoríficos 名单；结构化解析：SENACSA Google Sheets；官方注册号：SENACSA-1 LLM: 规则基线兜底评估：用于货源雷达批量排序；不是 LLM 判断，也不是采购决策。	2026-06-02
auto-uruguay-meats-exporters-frigorifico-carrasco-1f36gw1	Frigorífico Carrasco S.A.	Frigorífico Carrasco	Uruguay		frigorifico	official_list	https://uymeats.com/product/frigorifico-carrasco-s-a-2/	INAC-3	frigorifico		O1	E1	D2								58	83	A	未联系	补证据：确认是否为 omasum / omaso / librillo / folhoso	Uruguay Meats exporter card No. 3: Frigorífico Carrasco S.A. 自动采集：乌拉圭 Uruguay Meats 出口商目录；结构化解析：Uruguay Meats exporter card；官方编号：INAC-3 LLM: 规则基线兜底评估：用于货源雷达批量排序；不是 LLM 判断，也不是采购决策。	2026-06-02
auto-uruguay-meats-exporters-breeders-and-packers-uruguay-1gvbtj6	Breeders & Packers Uruguay S.A	Breeders & Packers Uruguay	Uruguay		exporter	official_list	https://uymeats.com/product/breeders-packers-uruguay-s-a/	INAC-310			O0	E1	D3								50	18	E	未联系	补证据：确认是否为 omasum / omaso / librillo / folhoso	Uruguay Meats exporter card No. 310: Breeders & Packers Uruguay S.A 自动采集：乌拉圭 Uruguay Meats 出口商目录；结构化解析：Uruguay Meats exporter card；官方编号：INAC-310	2026-06-02
auto-uruguay-meats-exporters-frigorifico-pul-1mdn3d6	Frigorifico PUL S.A	Frigorifico PUL	Uruguay		frigorifico	official_list	https://uymeats.com/product/frigorifico-pul-s-a/	INAC-7	frigorifico		O1	E1	D2								58	26	E	未联系	补证据：确认是否为 omasum / omaso / librillo / folhoso	Uruguay Meats exporter card No. 7: Frigorifico PUL S.A 自动采集：乌拉圭 Uruguay Meats 出口商目录；结构化解析：Uruguay Meats exporter card；官方编号：INAC-7	2026-06-02
auto-uruguay-meats-exporters-lorsinal-diundj	Lorsinal S.A	Lorsinal	Uruguay		unknown	official_list	https://uymeats.com/product/lorsinal-s-a/	INAC-224			O0	E1	D3								28	18	E	淘汰	淘汰：证据不足或风险过高	Uruguay Meats exporter card No. 224: Lorsinal S.A 自动采集：乌拉圭 Uruguay Meats 出口商目录；结构化解析：Uruguay Meats exporter card；官方编号：INAC-224	2026-06-02
auto-uruguay-meats-exporters-establecimiento-florida-halmon-qpo5mw	Establecimiento Florida – Halmon S.A	Establecimiento Florida – Halmon	Uruguay		unknown	official_list	https://uymeats.com/product/halmon-s-a/	INAC-365			O0	E1	D3								28	18	E	淘汰	淘汰：证据不足或风险过高	Uruguay Meats exporter card No. 365: Establecimiento Florida – Halmon S.A 自动采集：乌拉圭 Uruguay Meats 出口商目录；结构化解析：Uruguay Meats exporter card；官方编号：INAC-365	2026-06-02
auto-uruguay-meats-exporters-frigorifico-casa-blanca-v1g9n0	Frigorífico Casa Blanca S.A.	Frigorífico Casa Blanca	Uruguay		frigorifico	official_list	https://uymeats.com/product/frigorifico-casa-blanca-s-a/	INAC-58	frigorifico		O1	E1	D2								58	26	E	未联系	补证据：确认是否为 omasum / omaso / librillo / folhoso	Uruguay Meats exporter card No. 58: Frigorífico Casa Blanca S.A. 自动采集：乌拉圭 Uruguay Meats 出口商目录；结构化解析：Uruguay Meats exporter card；官方编号：INAC-58	2026-06-02
