radar_id	source_id	company_key	normalized_company_name	country	official_score	supply_score	byproduct_score	export_readiness_score	market_whitespace_score	contactability_score	radar_score	priority_grade	invisible_supply_rationale	recommended_verification	capability_refs	capacity_refs	approval_refs	scored_at
radar-py-senacsa-001-2026-05-21	py-senacsa-001	paraguay:a frigorifico paraguay	A Frigorifico Paraguay	Paraguay	15	0	20	0	0	5	40	D	official capability unknown; slaughter/capacity unknown; export approval unknown; market whitespace unknown because no bill dataset is loaded	Ask for monthly slaughter or collection volume and whether omasum is handled internally or by a triperia.				2026-05-21
radar-br-weak-001-2026-05-21	br-weak-001	brazil:c subprodutos bovinos	C Subprodutos Bovinos	Brazil	15	0	20	0	0	5	40	D	official capability unknown; slaughter/capacity unknown; export approval unknown; market whitespace unknown because no bill dataset is loaded	Ask for monthly slaughter or collection volume and whether omasum is handled internally or by a triperia.				2026-05-21
radar-uy-ref-001-2026-05-21	uy-ref-001	uruguay:b exporter uruguay	B Exporter Uruguay	Uruguay	15	0	0	0	0	5	20	E	official capability unknown; slaughter/capacity unknown; export approval unknown; market whitespace unknown because no bill dataset is loaded	Confirm export certificate experience, approved markets, and cold-chain route to port.				2026-05-21
radar-auto-paraguay-senacsa-frigorificos-cooperativa-multiactiva-neuland-fo1ggm-2026-05-21	auto-paraguay-senacsa-frigorificos-cooperativa-multiactiva-neuland-fo1ggm	paraguay:cooperativa multiactiva neuland	COOPERATIVA MULTIACTIVA NEULAND	Paraguay	15	0	20	0	0	3	38	D	official capability unknown; slaughter/capacity unknown; export approval unknown; market whitespace unknown because no bill dataset is loaded	Ask for monthly slaughter or collection volume and whether omasum is handled internally or by a triperia.				2026-05-21
radar-auto-uruguay-meats-exporters-frigorifico-carrasco-1f36gw1-2026-05-21	auto-uruguay-meats-exporters-frigorifico-carrasco-1f36gw1	uruguay:frigorifico carrasco	Frigorífico Carrasco	Uruguay	25	18	20	15	0	5	83	A	official factory capability present; plant-level slaughter/capacity signal present; export approval/readiness signal present; market whitespace unknown because no bill dataset is loaded	Contact plant or local verifier; ask for current omasum/librillo handling video, weekly headcount, and export certificate path.	factory-uruguay-inac-mgap-inac-3	capacity-uruguay-inac-mgap-inac-3	approval-uruguay-inac-mgap-inac-3	2026-05-21
radar-auto-uruguay-meats-exporters-breeders-and-packers-uruguay-1gvbtj6-2026-05-21	auto-uruguay-meats-exporters-breeders-and-packers-uruguay-1gvbtj6	uruguay:breeders packers uruguay	Breeders & Packers Uruguay	Uruguay	15	0	0	0	0	3	18	E	official capability unknown; slaughter/capacity unknown; export approval unknown; market whitespace unknown because no bill dataset is loaded	Confirm export certificate experience, approved markets, and cold-chain route to port.				2026-05-21
radar-auto-uruguay-meats-exporters-frigorifico-pul-1mdn3d6-2026-05-21	auto-uruguay-meats-exporters-frigorifico-pul-1mdn3d6	uruguay:frigorifico pul	Frigorifico PUL	Uruguay	15	0	8	0	0	3	26	E	official capability unknown; slaughter/capacity unknown; export approval unknown; market whitespace unknown because no bill dataset is loaded	Confirm export certificate experience, approved markets, and cold-chain route to port.				2026-05-21
radar-auto-uruguay-meats-exporters-lorsinal-diundj-2026-05-21	auto-uruguay-meats-exporters-lorsinal-diundj	uruguay:lorsinal	Lorsinal	Uruguay	15	0	0	0	0	3	18	E	official capability unknown; slaughter/capacity unknown; export approval unknown; market whitespace unknown because no bill dataset is loaded	Confirm export certificate experience, approved markets, and cold-chain route to port.				2026-05-21
radar-auto-uruguay-meats-exporters-establecimiento-florida-halmon-qpo5mw-2026-05-21	auto-uruguay-meats-exporters-establecimiento-florida-halmon-qpo5mw	uruguay:establecimiento florida halmon	Establecimiento Florida – Halmon	Uruguay	15	0	0	0	0	3	18	E	official capability unknown; slaughter/capacity unknown; export approval unknown; market whitespace unknown because no bill dataset is loaded	Confirm export certificate experience, approved markets, and cold-chain route to port.				2026-05-21
radar-auto-uruguay-meats-exporters-frigorifico-casa-blanca-v1g9n0-2026-05-21	auto-uruguay-meats-exporters-frigorifico-casa-blanca-v1g9n0	uruguay:frigorifico casa blanca	Frigorífico Casa Blanca	Uruguay	15	0	8	0	0	3	26	E	official capability unknown; slaughter/capacity unknown; export approval unknown; market whitespace unknown because no bill dataset is loaded	Confirm export certificate experience, approved markets, and cold-chain route to port.				2026-05-21
