source_id	url_or_file	first_seen	source_type	raw_company_name	normalized_company_name	country	status	reason
py-senacsa-001	https://example.local/py/a-frigorifico	2026-05-19	official_list	A Frigorifico Paraguay SA	A Frigorifico Paraguay	Paraguay	added	新增线索
br-weak-001	https://example.local/br/c-subprodutos	2026-05-19	weak_signal	C Subprodutos Bovinos Ltda	C Subprodutos Bovinos	Brazil	added	新增线索
uy-ref-001	https://example.local/uy/b-exporter	2026-05-19	bill_of_lading	B Exporter Uruguay	B Exporter Uruguay	Uruguay	added	新增线索
br-excluded-001	https://example.local/br/rumen-trader	2026-05-19	manual_tsv	Rumen Trader Brazil	Rumen Trader Brazil	Brazil	skipped_excluded	只命中排除品类，没有 Omasum 信号
py-dup-001	https://example.local/py/a-frigorifico	2026-05-19	official_list	A Frigorifico Paraguay S.A.	A Frigorifico Paraguay	Paraguay	skipped_dup	重复 URL、注册号或公司+国家
py-senacsa-001	https://example.local/py/a-frigorifico	2026-05-19	official_list	A Frigorifico Paraguay SA	A Frigorifico Paraguay	Paraguay	skipped_dup	duplicate url, registration, or company+country
br-weak-001	https://example.local/br/c-subprodutos	2026-05-19	weak_signal	C Subprodutos Bovinos Ltda	C Subprodutos Bovinos	Brazil	skipped_dup	duplicate url, registration, or company+country
uy-ref-001	https://example.local/uy/b-exporter	2026-05-19	bill_of_lading	B Exporter Uruguay	B Exporter Uruguay	Uruguay	skipped_dup	重复 URL、注册号或公司+国家
br-excluded-001	https://example.local/br/rumen-trader	2026-05-19	manual_tsv	Rumen Trader Brazil	Rumen Trader Brazil	Brazil	skipped_excluded	excluded product without Omasum signal
py-dup-001	https://example.local/py/a-frigorifico	2026-05-19	official_list	A Frigorifico Paraguay S.A.	A Frigorifico Paraguay	Paraguay	skipped_dup	duplicate url, registration, or company+country
auto-paraguay-senacsa-frigorificos-cooperativa-multiactiva-neuland-fo1ggm	https://docs.google.com/spreadsheets/d/1nDixRDexsnfC9ieAkWxrqNryysK9UoHZ/export?format=csv	2026-05-19	official_list	COOPERATIVA MULTIACTIVA NEULAND LTDA.	COOPERATIVA MULTIACTIVA NEULAND	Paraguay	added	新增线索
auto-paraguay-senacsa-frigorificos-frigorifico-frigomerc-23ysxe	https://docs.google.com/spreadsheets/d/1nDixRDexsnfC9ieAkWxrqNryysK9UoHZ/export?format=csv	2026-05-19	official_list	FRIGORIFICO FRIGOMERC S.A.	FRIGORIFICO FRIGOMERC	Paraguay	skipped_dup	重复 URL、注册号或公司+国家
auto-paraguay-senacsa-frigorificos-matadero-frigorifico-san-antonio-1op5dre	https://docs.google.com/spreadsheets/d/1nDixRDexsnfC9ieAkWxrqNryysK9UoHZ/export?format=csv	2026-05-19	official_list	MATADERO FRIGORIFICO SAN ANTONIO	MATADERO FRIGORIFICO SAN ANTONIO	Paraguay	skipped_dup	重复 URL、注册号或公司+国家
auto-paraguay-senacsa-frigorificos-frigorifico-guarani-c-i-1o8l53y	https://docs.google.com/spreadsheets/d/1nDixRDexsnfC9ieAkWxrqNryysK9UoHZ/export?format=csv	2026-05-19	official_list	FRIGORIFICO GUARANI S.A.C.I.	FRIGORIFICO GUARANI C I	Paraguay	skipped_dup	重复 URL、注册号或公司+国家
