intake_id	date	requested_object	source_id	company_key	normalized_company_name	country	priority_grade	radar_score	capture_action	required_fields	acceptance_criteria	value_to_fill	guardrail
intake-2026-06-02-paraguay-frigorifico-frigomerc-contact_person	2026-06-02	contact_person	auto-paraguay-senacsa-frigorificos-frigorifico-frigomerc-23ysxe	paraguay:frigorifico frigomerc	FRIGORIFICO FRIGOMERC	Paraguay	A	87	capture_contact_channel	contact_name; role; whatsapp or email; language; relationship_source; trust_level; next_questions	Reachable channel verified by field/commercial owner; record relationship source.		Do not infer contact channels from public route or capability data.
intake-2026-06-02-uruguay-frigorifico-carrasco-contact_person	2026-06-02	contact_person	auto-uruguay-meats-exporters-frigorifico-carrasco-1f36gw1	uruguay:frigorifico carrasco	Frigorífico Carrasco	Uruguay	A	83	capture_contact_channel	contact_name; role; whatsapp or email; language; relationship_source; trust_level; next_questions	Reachable channel verified by field/commercial owner; record relationship source.		Do not infer contact channels from public route or capability data.
intake-2026-06-02-paraguay-a-frigorifico-paraguay-contact_person	2026-06-02	contact_person	py-senacsa-001	paraguay:a frigorifico paraguay	A Frigorifico Paraguay	Paraguay	D	40	capture_contact_channel	contact_name; role; whatsapp or email; language; relationship_source; trust_level; next_questions	Reachable channel verified by field/commercial owner; record relationship source.		Do not infer contact channels from public route or capability data.
intake-2026-06-02-brazil-c-subprodutos-bovinos-contact_person	2026-06-02	contact_person	br-weak-001	brazil:c subprodutos bovinos	C Subprodutos Bovinos	Brazil	D	40	capture_contact_channel	contact_name; role; whatsapp or email; language; relationship_source; trust_level; next_questions	Reachable channel verified by field/commercial owner; record relationship source.		Do not infer contact channels from public route or capability data.
intake-2026-06-02-paraguay-frigochorti-contact_person	2026-06-02	contact_person	auto-paraguay-senacsa-frigorificos-frigochorti-eiaiig	paraguay:frigochorti	FRIGOCHORTI	Paraguay	D	38	capture_contact_channel	contact_name; role; whatsapp or email; language; relationship_source; trust_level; next_questions	Reachable channel verified by field/commercial owner; record relationship source.		Do not infer contact channels from public route or capability data.
intake-2026-06-02-paraguay-frigorifico-belen-contact_person	2026-06-02	contact_person	auto-paraguay-senacsa-frigorificos-frigorifico-belen-l9q5qz	paraguay:frigorifico belen	FRIGORIFICO BELEN	Paraguay	D	38	capture_contact_channel	contact_name; role; whatsapp or email; language; relationship_source; trust_level; next_questions	Reachable channel verified by field/commercial owner; record relationship source.		Do not infer contact channels from public route or capability data.
intake-2026-06-02-paraguay-frigorifico-concepcion-contact_person	2026-06-02	contact_person	auto-paraguay-senacsa-frigorificos-frigorifico-concepcion-djdnjk	paraguay:frigorifico concepcion	FRIGORIFICO CONCEPCION	Paraguay	D	38	capture_contact_channel	contact_name; role; whatsapp or email; language; relationship_source; trust_level; next_questions	Reachable channel verified by field/commercial owner; record relationship source.		Do not infer contact channels from public route or capability data.
intake-2026-06-02-paraguay-frigorifico-frigochaco-contact_person	2026-06-02	contact_person	auto-paraguay-senacsa-frigorificos-frigorifico-frigochaco-ekanta	paraguay:frigorifico frigochaco	FRIGORIFICO FRIGOCHACO	Paraguay	D	38	capture_contact_channel	contact_name; role; whatsapp or email; language; relationship_source; trust_level; next_questions	Reachable channel verified by field/commercial owner; record relationship source.		Do not infer contact channels from public route or capability data.
intake-2026-06-02-paraguay-frigorifico-guarani-c-i-contact_person	2026-06-02	contact_person	auto-paraguay-senacsa-frigorificos-frigorifico-guarani-c-i-1o8l53y	paraguay:frigorifico guarani c i	FRIGORIFICO GUARANI C I	Paraguay	D	38	capture_contact_channel	contact_name; role; whatsapp or email; language; relationship_source; trust_level; next_questions	Reachable channel verified by field/commercial owner; record relationship source.		Do not infer contact channels from public route or capability data.
intake-2026-06-02-paraguay-frigorifico-lombardo-contact_person	2026-06-02	contact_person	auto-paraguay-senacsa-frigorificos-frigorifico-lombardo-rgg5uy	paraguay:frigorifico lombardo	FRIGORIFICO LOMBARDO	Paraguay	D	38	capture_contact_channel	contact_name; role; whatsapp or email; language; relationship_source; trust_level; next_questions	Reachable channel verified by field/commercial owner; record relationship source.		Do not infer contact channels from public route or capability data.
