intake_id	date	requested_object	source_id	company_key	normalized_company_name	country	priority_grade	radar_score	capture_action	required_fields	acceptance_criteria	value_to_fill	guardrail
intake-2026-06-02-paraguay-frigorifico-frigomerc-offer_qc	2026-06-02	offer_qc	auto-paraguay-senacsa-frigorificos-frigorifico-frigomerc-23ysxe	paraguay:frigorifico frigomerc	FRIGORIFICO FRIGOMERC	Paraguay	A	87	collect_offer_qc	product_original; packaging; weekly_volume; price; incoterm; port; payment_terms; processing risk; quoted_at	供应商级报价/QC 说明，包含日期、条款和产品原文。		不得从路线统计推导价格或 QC。
intake-2026-06-02-uruguay-frigorifico-carrasco-offer_qc	2026-06-02	offer_qc	auto-uruguay-meats-exporters-frigorifico-carrasco-1f36gw1	uruguay:frigorifico carrasco	Frigorífico Carrasco	Uruguay	A	83	collect_offer_qc	product_original; packaging; weekly_volume; price; incoterm; port; payment_terms; processing risk; quoted_at	供应商级报价/QC 说明，包含日期、条款和产品原文。		不得从路线统计推导价格或 QC。
intake-2026-06-02-paraguay-a-frigorifico-paraguay-offer_qc	2026-06-02	offer_qc	py-senacsa-001	paraguay:a frigorifico paraguay	A Frigorifico Paraguay	Paraguay	D	40	collect_offer_qc	product_original; packaging; weekly_volume; price; incoterm; port; payment_terms; processing risk; quoted_at	供应商级报价/QC 说明，包含日期、条款和产品原文。		不得从路线统计推导价格或 QC。
intake-2026-06-02-brazil-c-subprodutos-bovinos-offer_qc	2026-06-02	offer_qc	br-weak-001	brazil:c subprodutos bovinos	C Subprodutos Bovinos	Brazil	D	40	collect_offer_qc	product_original; packaging; weekly_volume; price; incoterm; port; payment_terms; processing risk; quoted_at	供应商级报价/QC 说明，包含日期、条款和产品原文。		不得从路线统计推导价格或 QC。
intake-2026-06-02-paraguay-frigochorti-offer_qc	2026-06-02	offer_qc	auto-paraguay-senacsa-frigorificos-frigochorti-eiaiig	paraguay:frigochorti	FRIGOCHORTI	Paraguay	D	38	collect_offer_qc	product_original; packaging; weekly_volume; price; incoterm; port; payment_terms; processing risk; quoted_at	供应商级报价/QC 说明，包含日期、条款和产品原文。		不得从路线统计推导价格或 QC。
intake-2026-06-02-paraguay-frigorifico-belen-offer_qc	2026-06-02	offer_qc	auto-paraguay-senacsa-frigorificos-frigorifico-belen-l9q5qz	paraguay:frigorifico belen	FRIGORIFICO BELEN	Paraguay	D	38	collect_offer_qc	product_original; packaging; weekly_volume; price; incoterm; port; payment_terms; processing risk; quoted_at	供应商级报价/QC 说明，包含日期、条款和产品原文。		不得从路线统计推导价格或 QC。
intake-2026-06-02-paraguay-frigorifico-concepcion-offer_qc	2026-06-02	offer_qc	auto-paraguay-senacsa-frigorificos-frigorifico-concepcion-djdnjk	paraguay:frigorifico concepcion	FRIGORIFICO CONCEPCION	Paraguay	D	38	collect_offer_qc	product_original; packaging; weekly_volume; price; incoterm; port; payment_terms; processing risk; quoted_at	供应商级报价/QC 说明，包含日期、条款和产品原文。		不得从路线统计推导价格或 QC。
intake-2026-06-02-paraguay-frigorifico-frigochaco-offer_qc	2026-06-02	offer_qc	auto-paraguay-senacsa-frigorificos-frigorifico-frigochaco-ekanta	paraguay:frigorifico frigochaco	FRIGORIFICO FRIGOCHACO	Paraguay	D	38	collect_offer_qc	product_original; packaging; weekly_volume; price; incoterm; port; payment_terms; processing risk; quoted_at	供应商级报价/QC 说明，包含日期、条款和产品原文。		不得从路线统计推导价格或 QC。
intake-2026-06-02-paraguay-frigorifico-guarani-c-i-offer_qc	2026-06-02	offer_qc	auto-paraguay-senacsa-frigorificos-frigorifico-guarani-c-i-1o8l53y	paraguay:frigorifico guarani c i	FRIGORIFICO GUARANI C I	Paraguay	D	38	collect_offer_qc	product_original; packaging; weekly_volume; price; incoterm; port; payment_terms; processing risk; quoted_at	供应商级报价/QC 说明，包含日期、条款和产品原文。		不得从路线统计推导价格或 QC。
intake-2026-06-02-paraguay-frigorifico-lombardo-offer_qc	2026-06-02	offer_qc	auto-paraguay-senacsa-frigorificos-frigorifico-lombardo-rgg5uy	paraguay:frigorifico lombardo	FRIGORIFICO LOMBARDO	Paraguay	D	38	collect_offer_qc	product_original; packaging; weekly_volume; price; incoterm; port; payment_terms; processing risk; quoted_at	供应商级报价/QC 说明，包含日期、条款和产品原文。		不得从路线统计推导价格或 QC。
