intake_id	date	requested_object	source_id	company_key	normalized_company_name	country	priority_grade	radar_score	capture_action	required_fields	acceptance_criteria	value_to_fill	guardrail
intake-2026-06-02-paraguay-frigorifico-frigomerc-trial_review	2026-06-02	trial_review	auto-paraguay-senacsa-frigorificos-frigorifico-frigomerc-23ysxe	paraguay:frigorifico frigomerc	FRIGORIFICO FRIGOMERC	Paraguay	A	87	record_trial_review_after_sample_or_container	product; quantity_mt; packaging; price; processing_method; arrival_quality; actual_loss_percent; actual_margin; repurchase; date	真实样品/试柜加工结果，包含损耗、扣重、买方反馈、利润和复购结果。		D1 仍需交易证据；试柜复盘必须基于真实货物流转。
intake-2026-06-02-uruguay-frigorifico-carrasco-trial_review	2026-06-02	trial_review	auto-uruguay-meats-exporters-frigorifico-carrasco-1f36gw1	uruguay:frigorifico carrasco	Frigorífico Carrasco	Uruguay	A	83	record_trial_review_after_sample_or_container	product; quantity_mt; packaging; price; processing_method; arrival_quality; actual_loss_percent; actual_margin; repurchase; date	真实样品/试柜加工结果，包含损耗、扣重、买方反馈、利润和复购结果。		D1 仍需交易证据；试柜复盘必须基于真实货物流转。
intake-2026-06-02-paraguay-a-frigorifico-paraguay-trial_review	2026-06-02	trial_review	py-senacsa-001	paraguay:a frigorifico paraguay	A Frigorifico Paraguay	Paraguay	D	40	record_trial_review_after_sample_or_container	product; quantity_mt; packaging; price; processing_method; arrival_quality; actual_loss_percent; actual_margin; repurchase; date	真实样品/试柜加工结果，包含损耗、扣重、买方反馈、利润和复购结果。		D1 仍需交易证据；试柜复盘必须基于真实货物流转。
intake-2026-06-02-brazil-c-subprodutos-bovinos-trial_review	2026-06-02	trial_review	br-weak-001	brazil:c subprodutos bovinos	C Subprodutos Bovinos	Brazil	D	40	record_trial_review_after_sample_or_container	product; quantity_mt; packaging; price; processing_method; arrival_quality; actual_loss_percent; actual_margin; repurchase; date	真实样品/试柜加工结果，包含损耗、扣重、买方反馈、利润和复购结果。		D1 仍需交易证据；试柜复盘必须基于真实货物流转。
intake-2026-06-02-paraguay-frigochorti-trial_review	2026-06-02	trial_review	auto-paraguay-senacsa-frigorificos-frigochorti-eiaiig	paraguay:frigochorti	FRIGOCHORTI	Paraguay	D	38	record_trial_review_after_sample_or_container	product; quantity_mt; packaging; price; processing_method; arrival_quality; actual_loss_percent; actual_margin; repurchase; date	真实样品/试柜加工结果，包含损耗、扣重、买方反馈、利润和复购结果。		D1 仍需交易证据；试柜复盘必须基于真实货物流转。
intake-2026-06-02-paraguay-frigorifico-belen-trial_review	2026-06-02	trial_review	auto-paraguay-senacsa-frigorificos-frigorifico-belen-l9q5qz	paraguay:frigorifico belen	FRIGORIFICO BELEN	Paraguay	D	38	record_trial_review_after_sample_or_container	product; quantity_mt; packaging; price; processing_method; arrival_quality; actual_loss_percent; actual_margin; repurchase; date	真实样品/试柜加工结果，包含损耗、扣重、买方反馈、利润和复购结果。		D1 仍需交易证据；试柜复盘必须基于真实货物流转。
intake-2026-06-02-paraguay-frigorifico-concepcion-trial_review	2026-06-02	trial_review	auto-paraguay-senacsa-frigorificos-frigorifico-concepcion-djdnjk	paraguay:frigorifico concepcion	FRIGORIFICO CONCEPCION	Paraguay	D	38	record_trial_review_after_sample_or_container	product; quantity_mt; packaging; price; processing_method; arrival_quality; actual_loss_percent; actual_margin; repurchase; date	真实样品/试柜加工结果，包含损耗、扣重、买方反馈、利润和复购结果。		D1 仍需交易证据；试柜复盘必须基于真实货物流转。
intake-2026-06-02-paraguay-frigorifico-frigochaco-trial_review	2026-06-02	trial_review	auto-paraguay-senacsa-frigorificos-frigorifico-frigochaco-ekanta	paraguay:frigorifico frigochaco	FRIGORIFICO FRIGOCHACO	Paraguay	D	38	record_trial_review_after_sample_or_container	product; quantity_mt; packaging; price; processing_method; arrival_quality; actual_loss_percent; actual_margin; repurchase; date	真实样品/试柜加工结果，包含损耗、扣重、买方反馈、利润和复购结果。		D1 仍需交易证据；试柜复盘必须基于真实货物流转。
intake-2026-06-02-paraguay-frigorifico-guarani-c-i-trial_review	2026-06-02	trial_review	auto-paraguay-senacsa-frigorificos-frigorifico-guarani-c-i-1o8l53y	paraguay:frigorifico guarani c i	FRIGORIFICO GUARANI C I	Paraguay	D	38	record_trial_review_after_sample_or_container	product; quantity_mt; packaging; price; processing_method; arrival_quality; actual_loss_percent; actual_margin; repurchase; date	真实样品/试柜加工结果，包含损耗、扣重、买方反馈、利润和复购结果。		D1 仍需交易证据；试柜复盘必须基于真实货物流转。
intake-2026-06-02-paraguay-frigorifico-lombardo-trial_review	2026-06-02	trial_review	auto-paraguay-senacsa-frigorificos-frigorifico-lombardo-rgg5uy	paraguay:frigorifico lombardo	FRIGORIFICO LOMBARDO	Paraguay	D	38	record_trial_review_after_sample_or_container	product; quantity_mt; packaging; price; processing_method; arrival_quality; actual_loss_percent; actual_margin; repurchase; date	真实样品/试柜加工结果，包含损耗、扣重、买方反馈、利润和复购结果。		D1 仍需交易证据；试柜复盘必须基于真实货物流转。
