capability_id	country	official_registration	legal_name	plant_name	city	region	address	activity_type	animal_species	operational_status	export_markets	product_scope	byproduct_signal	cold_chain_signal	source_id	source_url	source_status	confidence	collected_at	notes
factory-uruguay-inac-mgap-inac-3	Uruguay	INAC-3	Frigorífico Carrasco S.A.	Frigorífico Carrasco				frigorifico		unknown		Uruguay Meats exporter card No. 3: Frigorífico Carrasco S.A.			uruguay_inac_mgap	https://uymeats.com/product/frigorifico-carrasco-s-a-2/	usable	official_auto_lead	2026-06-02	自动采集：乌拉圭 Uruguay Meats 出口商目录；结构化解析：Uruguay Meats exporter card；官方编号：INAC-3
factory-uruguay-inac-mgap-inac-310	Uruguay	INAC-310	Breeders & Packers Uruguay S.A	Breeders & Packers Uruguay				exporter		unknown		Uruguay Meats exporter card No. 310: Breeders & Packers Uruguay S.A			uruguay_inac_mgap	https://uymeats.com/product/breeders-packers-uruguay-s-a/	usable	official_auto_lead	2026-06-02	自动采集：乌拉圭 Uruguay Meats 出口商目录；结构化解析：Uruguay Meats exporter card；官方编号：INAC-310
factory-uruguay-inac-mgap-inac-7	Uruguay	INAC-7	Frigorifico PUL S.A	Frigorifico PUL				frigorifico		unknown		Uruguay Meats exporter card No. 7: Frigorifico PUL S.A			uruguay_inac_mgap	https://uymeats.com/product/frigorifico-pul-s-a/	usable	official_auto_lead	2026-06-02	自动采集：乌拉圭 Uruguay Meats 出口商目录；结构化解析：Uruguay Meats exporter card；官方编号：INAC-7
factory-uruguay-inac-mgap-inac-224	Uruguay	INAC-224	Lorsinal S.A	Lorsinal				unknown		unknown		Uruguay Meats exporter card No. 224: Lorsinal S.A			uruguay_inac_mgap	https://uymeats.com/product/lorsinal-s-a/	usable	official_auto_lead	2026-06-02	自动采集：乌拉圭 Uruguay Meats 出口商目录；结构化解析：Uruguay Meats exporter card；官方编号：INAC-224
factory-uruguay-inac-mgap-inac-365	Uruguay	INAC-365	Establecimiento Florida – Halmon S.A	Establecimiento Florida – Halmon				unknown		unknown		Uruguay Meats exporter card No. 365: Establecimiento Florida – Halmon S.A			uruguay_inac_mgap	https://uymeats.com/product/halmon-s-a/	usable	official_auto_lead	2026-06-02	自动采集：乌拉圭 Uruguay Meats 出口商目录；结构化解析：Uruguay Meats exporter card；官方编号：INAC-365
factory-uruguay-inac-mgap-inac-58	Uruguay	INAC-58	Frigorífico Casa Blanca S.A.	Frigorífico Casa Blanca				frigorifico		unknown		Uruguay Meats exporter card No. 58: Frigorífico Casa Blanca S.A.			uruguay_inac_mgap	https://uymeats.com/product/frigorifico-casa-blanca-s-a/	usable	official_auto_lead	2026-06-02	自动采集：乌拉圭 Uruguay Meats 出口商目录；结构化解析：Uruguay Meats exporter card；官方编号：INAC-58
factory-uruguay-inac-mgap-inac-52	Uruguay	INAC-52	FRIGORÍFICO Schneck	FRIGORÍFICO Schneck				frigorifico		unknown		Uruguay Meats exporter card No. 52: FRIGORÍFICO Schneck			uruguay_inac_mgap	https://uymeats.com/product/frigorifico-schneck/	usable	official_auto_lead	2026-06-02	自动采集：乌拉圭 Uruguay Meats 出口商目录；结构化解析：Uruguay Meats exporter card；官方编号：INAC-52
factory-uruguay-inac-mgap-inac-74	Uruguay	INAC-74	FRIGOSALTO – Somicar S.A.	FRIGOSALTO – Somicar				frigorifico		unknown		Uruguay Meats exporter card No. 74: FRIGOSALTO – Somicar S.A.			uruguay_inac_mgap	https://uymeats.com/product/frigosalto-somicar-s-a/	usable	official_auto_lead	2026-06-02	自动采集：乌拉圭 Uruguay Meats 出口商目录；结构化解析：Uruguay Meats exporter card；官方编号：INAC-74
factory-uruguay-inac-mgap-inac-26	Uruguay	INAC-26	Frigoyi – Bilacor S.A.	Frigoyi – Bilacor				frigorifico		unknown		Uruguay Meats exporter card No. 26: Frigoyi – Bilacor S.A.			uruguay_inac_mgap	https://uymeats.com/product/frigoyi-bilacor-s-a/	usable	official_auto_lead	2026-06-02	自动采集：乌拉圭 Uruguay Meats 出口商目录；结构化解析：Uruguay Meats exporter card；官方编号：INAC-26
factory-uruguay-inac-mgap-inac-22	Uruguay	INAC-22	Frigorifico Rosario – Rondatel S.A.	Frigorifico Rosario – Rondatel				frigorifico		unknown		Uruguay Meats exporter card No. 22: Frigorifico Rosario – Rondatel S.A.			uruguay_inac_mgap	https://uymeats.com/product/frigorifico-rondatel/	usable	official_auto_lead	2026-06-02	自动采集：乌拉圭 Uruguay Meats 出口商目录；结构化解析：Uruguay Meats exporter card；官方编号：INAC-22
factory-uruguay-inac-mgap-inac-14	Uruguay	INAC-14	Frigorífico durazno	Frigorífico durazno				frigorifico		unknown		Uruguay Meats exporter card No. 14: Frigorífico durazno			uruguay_inac_mgap	https://uymeats.com/product/frigorifico-durazno/	usable	official_auto_lead	2026-06-02	自动采集：乌拉圭 Uruguay Meats 出口商目录；结构化解析：Uruguay Meats exporter card；官方编号：INAC-14
factory-uruguay-inac-mgap-inac-344	Uruguay	INAC-344	Frigorífico San Jacinto	Frigorífico San Jacinto				frigorifico		unknown		Uruguay Meats exporter card No. 344: Frigorífico San Jacinto			uruguay_inac_mgap	https://uymeats.com/product/frigorifico-san-jacinto/	usable	official_auto_lead	2026-06-02	自动采集：乌拉圭 Uruguay Meats 出口商目录；结构化解析：Uruguay Meats exporter card；官方编号：INAC-344
factory-uruguay-inac-mgap-inac-20	Uruguay	INAC-20	Frigorifico Modelo S.A	Frigorifico Modelo				frigorifico		unknown		Uruguay Meats exporter card No. 20: Frigorifico Modelo S.A			uruguay_inac_mgap	https://uymeats.com/product/frigorifico-modelo-s-a/	usable	official_auto_lead	2026-06-02	自动采集：乌拉圭 Uruguay Meats 出口商目录；结构化解析：Uruguay Meats exporter card；官方编号：INAC-20
factory-uruguay-inac-mgap-inac-150	Uruguay	INAC-150	Solís Meat Uruguay	Solís Meat Uruguay				exporter		unknown		Uruguay Meats exporter card No. 150: Solís Meat Uruguay			uruguay_inac_mgap	https://uymeats.com/product/solis-meat-uruguay/	usable	official_auto_lead	2026-06-02	自动采集：乌拉圭 Uruguay Meats 出口商目录；结构化解析：Uruguay Meats exporter card；官方编号：INAC-150
factory-uruguay-inac-mgap-inac-104	Uruguay	INAC-104	Frigorífico Las Moras	Frigorífico Las Moras				frigorifico		unknown		Uruguay Meats exporter card No. 104: Frigorífico Las Moras			uruguay_inac_mgap	https://uymeats.com/product/frigorifico-las-moras/	usable	official_auto_lead	2026-06-02	自动采集：乌拉圭 Uruguay Meats 出口商目录；结构化解析：Uruguay Meats exporter card；官方编号：INAC-104
factory-uruguay-inac-mgap-inac-8	Uruguay	INAC-8	Frigorifico Canelones S.A	Frigorifico Canelones				frigorifico		unknown		Uruguay Meats exporter card No. 8: Frigorifico Canelones S.A			uruguay_inac_mgap	https://uymeats.com/product/frigorifico-canelones-s-a/	usable	official_auto_lead	2026-06-02	自动采集：乌拉圭 Uruguay Meats 出口商目录；结构化解析：Uruguay Meats exporter card；官方编号：INAC-8
factory-uruguay-inac-mgap-inac-12	Uruguay	INAC-12	Marfrig Global Foods	Marfrig Global Foods				exporter		unknown		Uruguay Meats exporter card No. 12: Marfrig Global Foods			uruguay_inac_mgap	https://uymeats.com/product/marfrig-global-foods/	usable	official_auto_lead	2026-06-02	自动采集：乌拉圭 Uruguay Meats 出口商目录；结构化解析：Uruguay Meats exporter card；官方编号：INAC-12
factory-uruguay-inac-mgap-inac-3-7-8	Uruguay	INAC-3-7-8	Minerva Foods	Minerva Foods				exporter		unknown		Uruguay Meats exporter card No. 3,7 & 8: Minerva Foods			uruguay_inac_mgap	https://uymeats.com/product/minerva-foods/	usable	official_auto_lead	2026-06-02	自动采集：乌拉圭 Uruguay Meats 出口商目录；结构化解析：Uruguay Meats exporter card；官方编号：INAC-3-7-8
