logistics_id	source_id	country	country_code	indicator_id	indicator_name	period	value	unit	source_url	status	collected_at	notes
world_bank-bra-lp-lpi-ovrl-xq-2022	world_bank	Brazil	BRA	LP.LPI.OVRL.XQ	Logistics performance index: Overall (1=low to 5=high)	2022	3.2		https://api.worldbank.org/v2/country/BRA/indicator/LP.LPI.OVRL.XQ?format=json&per_page=12	logistics_context_only	2026-06-02	物流背景仅用于路线与开发优先级解释，不提升供应商证据。
world_bank-bra-is-shp-good-tu-2022	world_bank	Brazil	BRA	IS.SHP.GOOD.TU	Container port traffic (TEU: 20 foot equivalent units)	2022	11683239		https://api.worldbank.org/v2/country/BRA/indicator/IS.SHP.GOOD.TU?format=json&per_page=12	logistics_context_only	2026-06-02	物流背景仅用于路线与开发优先级解释，不提升供应商证据。
world_bank-pry-lp-lpi-ovrl-xq-2022	world_bank	Paraguay	PRY	LP.LPI.OVRL.XQ	Logistics performance index: Overall (1=low to 5=high)	2022	2.7		https://api.worldbank.org/v2/country/PRY/indicator/LP.LPI.OVRL.XQ?format=json&per_page=12	logistics_context_only	2026-06-02	物流背景仅用于路线与开发优先级解释，不提升供应商证据。
world_bank-pry-is-shp-good-tu-2020	world_bank	Paraguay	PRY	IS.SHP.GOOD.TU	Container port traffic (TEU: 20 foot equivalent units)	2020	37901.25		https://api.worldbank.org/v2/country/PRY/indicator/IS.SHP.GOOD.TU?format=json&per_page=12	logistics_context_only	2026-06-02	物流背景仅用于路线与开发优先级解释，不提升供应商证据。
world_bank-ury-lp-lpi-ovrl-xq-2022	world_bank	Uruguay	URY	LP.LPI.OVRL.XQ	Logistics performance index: Overall (1=low to 5=high)	2022	3		https://api.worldbank.org/v2/country/URY/indicator/LP.LPI.OVRL.XQ?format=json&per_page=12	logistics_context_only	2026-06-02	物流背景仅用于路线与开发优先级解释，不提升供应商证据。
world_bank-ury-is-shp-good-tu-2022	world_bank	Uruguay	URY	IS.SHP.GOOD.TU	Container port traffic (TEU: 20 foot equivalent units)	2022	1080445		https://api.worldbank.org/v2/country/URY/indicator/IS.SHP.GOOD.TU?format=json&per_page=12	logistics_context_only	2026-06-02	物流背景仅用于路线与开发优先级解释，不提升供应商证据。
world_bank-arg-lp-lpi-ovrl-xq-2022	world_bank	Argentina	ARG	LP.LPI.OVRL.XQ	Logistics performance index: Overall (1=low to 5=high)	2022	2.8		https://api.worldbank.org/v2/country/ARG/indicator/LP.LPI.OVRL.XQ?format=json&per_page=12	logistics_context_only	2026-06-02	物流背景仅用于路线与开发优先级解释，不提升供应商证据。
world_bank-arg-is-shp-good-tu-2022	world_bank	Argentina	ARG	IS.SHP.GOOD.TU	Container port traffic (TEU: 20 foot equivalent units)	2022	1667161		https://api.worldbank.org/v2/country/ARG/indicator/IS.SHP.GOOD.TU?format=json&per_page=12	logistics_context_only	2026-06-02	物流背景仅用于路线与开发优先级解释，不提升供应商证据。
world_bank-chl-lp-lpi-ovrl-xq-2022	world_bank	Chile	CHL	LP.LPI.OVRL.XQ	Logistics performance index: Overall (1=low to 5=high)	2022	3		https://api.worldbank.org/v2/country/CHL/indicator/LP.LPI.OVRL.XQ?format=json&per_page=12	logistics_context_only	2026-06-02	物流背景仅用于路线与开发优先级解释，不提升供应商证据。
world_bank-chl-is-shp-good-tu-2022	world_bank	Chile	CHL	IS.SHP.GOOD.TU	Container port traffic (TEU: 20 foot equivalent units)	2022	4158260		https://api.worldbank.org/v2/country/CHL/indicator/IS.SHP.GOOD.TU?format=json&per_page=12	logistics_context_only	2026-06-02	物流背景仅用于路线与开发优先级解释，不提升供应商证据。
world_bank-col-lp-lpi-ovrl-xq-2022	world_bank	Colombia	COL	LP.LPI.OVRL.XQ	Logistics performance index: Overall (1=low to 5=high)	2022	2.9		https://api.worldbank.org/v2/country/COL/indicator/LP.LPI.OVRL.XQ?format=json&per_page=12	logistics_context_only	2026-06-02	物流背景仅用于路线与开发优先级解释，不提升供应商证据。
world_bank-col-is-shp-good-tu-2022	world_bank	Colombia	COL	IS.SHP.GOOD.TU	Container port traffic (TEU: 20 foot equivalent units)	2022	4480670		https://api.worldbank.org/v2/country/COL/indicator/IS.SHP.GOOD.TU?format=json&per_page=12	logistics_context_only	2026-06-02	物流背景仅用于路线与开发优先级解释，不提升供应商证据。
