evaluation_id	evaluated_at	source_id	real_source_id	normalized_company_name	country	official_registration	omasum_level	evidence_level	development_distance	route_feasibility	rule_score	radar_score	priority_grade	country_context_score	country_context_signal	logistics_context_score	logistics_context_signal	preliminary_decision	next_action	guardrail_notes
source-eval-auto-uruguay-meats-exporters-frigosalto-somicar-1dlw1hx-2026-06-02	2026-06-02	auto-uruguay-meats-exporters-frigosalto-somicar-1dlw1hx	uruguay_meats_exporters	FRIGOSALTO – Somicar	Uruguay	INAC-74	O1	E1	D2		62	41	D	5	AG.PRD.LVSK.XD 2022=109.58; AG.PRD.FOOD.XD 2022=97.82	5	LP.LPI.OVRL.XQ 2022=3; IS.SHP.GOOD.TU 2022=1080445	official_source_verify_product_scope	索取当前批次 omasum/librillo/folhoso 视频、周供货量、加工方式和出口联系人。	路线统计未提升证据等级。 能力雷达未提升证据等级。 未分配 D1，因为没有提单、发票、贸易或成熟交易证据。 官方来源只证明身份和出处，产品范围仍需要当前批次 omasum 证据。
source-eval-auto-uruguay-meats-exporters-frigorifico-carrasco-1f36gw1-2026-06-02	2026-06-02	auto-uruguay-meats-exporters-frigorifico-carrasco-1f36gw1	uruguay_meats_exporters	Frigorífico Carrasco	Uruguay	INAC-3	O1	E1	D2		58	41	D	5	AG.PRD.LVSK.XD 2022=109.58; AG.PRD.FOOD.XD 2022=97.82	5	LP.LPI.OVRL.XQ 2022=3; IS.SHP.GOOD.TU 2022=1080445	official_source_verify_product_scope	索取当前批次 omasum/librillo/folhoso 视频、周供货量、加工方式和出口联系人。	路线统计未提升证据等级。 能力雷达未提升证据等级。 未分配 D1，因为没有提单、发票、贸易或成熟交易证据。 官方来源只证明身份和出处，产品范围仍需要当前批次 omasum 证据。
source-eval-auto-uruguay-meats-exporters-frigorifico-pul-1mdn3d6-2026-06-02	2026-06-02	auto-uruguay-meats-exporters-frigorifico-pul-1mdn3d6	uruguay_meats_exporters	Frigorifico PUL	Uruguay	INAC-7	O1	E1	D2		58	41	D	5	AG.PRD.LVSK.XD 2022=109.58; AG.PRD.FOOD.XD 2022=97.82	5	LP.LPI.OVRL.XQ 2022=3; IS.SHP.GOOD.TU 2022=1080445	official_source_verify_product_scope	索取当前批次 omasum/librillo/folhoso 视频、周供货量、加工方式和出口联系人。	路线统计未提升证据等级。 能力雷达未提升证据等级。 未分配 D1，因为没有提单、发票、贸易或成熟交易证据。 官方来源只证明身份和出处，产品范围仍需要当前批次 omasum 证据。
source-eval-auto-uruguay-meats-exporters-frigorifico-casa-blanca-v1g9n0-2026-06-02	2026-06-02	auto-uruguay-meats-exporters-frigorifico-casa-blanca-v1g9n0	uruguay_meats_exporters	Frigorífico Casa Blanca	Uruguay	INAC-58	O1	E1	D2		58	41	D	5	AG.PRD.LVSK.XD 2022=109.58; AG.PRD.FOOD.XD 2022=97.82	5	LP.LPI.OVRL.XQ 2022=3; IS.SHP.GOOD.TU 2022=1080445	official_source_verify_product_scope	索取当前批次 omasum/librillo/folhoso 视频、周供货量、加工方式和出口联系人。	路线统计未提升证据等级。 能力雷达未提升证据等级。 未分配 D1，因为没有提单、发票、贸易或成熟交易证据。 官方来源只证明身份和出处，产品范围仍需要当前批次 omasum 证据。
source-eval-auto-uruguay-meats-exporters-frigorifico-schneck-116t22a-2026-06-02	2026-06-02	auto-uruguay-meats-exporters-frigorifico-schneck-116t22a	uruguay_meats_exporters	FRIGORÍFICO Schneck	Uruguay	INAC-52	O1	E1	D2		58	41	D	5	AG.PRD.LVSK.XD 2022=109.58; AG.PRD.FOOD.XD 2022=97.82	5	LP.LPI.OVRL.XQ 2022=3; IS.SHP.GOOD.TU 2022=1080445	official_source_verify_product_scope	索取当前批次 omasum/librillo/folhoso 视频、周供货量、加工方式和出口联系人。	路线统计未提升证据等级。 能力雷达未提升证据等级。 未分配 D1，因为没有提单、发票、贸易或成熟交易证据。 官方来源只证明身份和出处，产品范围仍需要当前批次 omasum 证据。
source-eval-auto-uruguay-meats-exporters-frigoyi-bilacor-13x0g5r-2026-06-02	2026-06-02	auto-uruguay-meats-exporters-frigoyi-bilacor-13x0g5r	uruguay_meats_exporters	Frigoyi – Bilacor	Uruguay	INAC-26	O1	E1	D2		58	41	D	5	AG.PRD.LVSK.XD 2022=109.58; AG.PRD.FOOD.XD 2022=97.82	5	LP.LPI.OVRL.XQ 2022=3; IS.SHP.GOOD.TU 2022=1080445	official_source_verify_product_scope	索取当前批次 omasum/librillo/folhoso 视频、周供货量、加工方式和出口联系人。	路线统计未提升证据等级。 能力雷达未提升证据等级。 未分配 D1，因为没有提单、发票、贸易或成熟交易证据。 官方来源只证明身份和出处，产品范围仍需要当前批次 omasum 证据。
source-eval-auto-uruguay-meats-exporters-frigorifico-rosario-rondatel-s0j27z-2026-06-02	2026-06-02	auto-uruguay-meats-exporters-frigorifico-rosario-rondatel-s0j27z	uruguay_meats_exporters	Frigorifico Rosario – Rondatel	Uruguay	INAC-22	O1	E1	D2		58	41	D	5	AG.PRD.LVSK.XD 2022=109.58; AG.PRD.FOOD.XD 2022=97.82	5	LP.LPI.OVRL.XQ 2022=3; IS.SHP.GOOD.TU 2022=1080445	official_source_verify_product_scope	索取当前批次 omasum/librillo/folhoso 视频、周供货量、加工方式和出口联系人。	路线统计未提升证据等级。 能力雷达未提升证据等级。 未分配 D1，因为没有提单、发票、贸易或成熟交易证据。 官方来源只证明身份和出处，产品范围仍需要当前批次 omasum 证据。
source-eval-auto-uruguay-meats-exporters-frigorifico-durazno-8pz936-2026-06-02	2026-06-02	auto-uruguay-meats-exporters-frigorifico-durazno-8pz936	uruguay_meats_exporters	Frigorífico durazno	Uruguay	INAC-14	O1	E1	D2		58	41	D	5	AG.PRD.LVSK.XD 2022=109.58; AG.PRD.FOOD.XD 2022=97.82	5	LP.LPI.OVRL.XQ 2022=3; IS.SHP.GOOD.TU 2022=1080445	official_source_verify_product_scope	索取当前批次 omasum/librillo/folhoso 视频、周供货量、加工方式和出口联系人。	路线统计未提升证据等级。 能力雷达未提升证据等级。 未分配 D1，因为没有提单、发票、贸易或成熟交易证据。 官方来源只证明身份和出处，产品范围仍需要当前批次 omasum 证据。
source-eval-auto-uruguay-meats-exporters-frigorifico-san-jacinto-1usvf2n-2026-06-02	2026-06-02	auto-uruguay-meats-exporters-frigorifico-san-jacinto-1usvf2n	uruguay_meats_exporters	Frigorífico San Jacinto	Uruguay	INAC-344	O1	E1	D2		58	41	D	5	AG.PRD.LVSK.XD 2022=109.58; AG.PRD.FOOD.XD 2022=97.82	5	LP.LPI.OVRL.XQ 2022=3; IS.SHP.GOOD.TU 2022=1080445	official_source_verify_product_scope	索取当前批次 omasum/librillo/folhoso 视频、周供货量、加工方式和出口联系人。	路线统计未提升证据等级。 能力雷达未提升证据等级。 未分配 D1，因为没有提单、发票、贸易或成熟交易证据。 官方来源只证明身份和出处，产品范围仍需要当前批次 omasum 证据。
source-eval-auto-uruguay-meats-exporters-frigorifico-modelo-1xdfek0-2026-06-02	2026-06-02	auto-uruguay-meats-exporters-frigorifico-modelo-1xdfek0	uruguay_meats_exporters	Frigorifico Modelo	Uruguay	INAC-20	O1	E1	D2		58	41	D	5	AG.PRD.LVSK.XD 2022=109.58; AG.PRD.FOOD.XD 2022=97.82	5	LP.LPI.OVRL.XQ 2022=3; IS.SHP.GOOD.TU 2022=1080445	official_source_verify_product_scope	索取当前批次 omasum/librillo/folhoso 视频、周供货量、加工方式和出口联系人。	路线统计未提升证据等级。 能力雷达未提升证据等级。 未分配 D1，因为没有提单、发票、贸易或成熟交易证据。 官方来源只证明身份和出处，产品范围仍需要当前批次 omasum 证据。
